DATE,DDEM01USA156NWDB
1996-01-01,89.9315
1997-01-01,96.0119
1998-01-01,103.682
1999-01-01,135.563
2000-01-01,198.076
2001-01-01,142.129
2002-01-01,135.197
2003-01-01,125.93700000000001
2004-01-01,123.95299999999999
2005-01-01,153.422
2006-01-01,165.47
2007-01-01,215.485
2008-01-01,292.615
2009-01-01,255.955
2010-01-01,222.247
2011-01-01,246.31599999999997
2012-01-01,187.09799999999998
2013-01-01,154.759
2014-01-01,152.965
2015-01-01,160.157
2016-01-01,159.884
2017-01-01,133.269
